Timestamp,Age Group,Occupation,Which laptop brand are you currently using?,What is your primary use for the laptop?,How satisfied are you with your current laptop performance?,Which feature matters most when buying a laptop?,Are you aware of laptop accessories that improve productivity?,Which accessories do you currently use ?,Which type of offer would encourage you to buy additional products?,What problems do you face with your current laptop?,How often does your laptop slow down while performing tasks?,"If you were to upgrade your laptop, which feature would you prefer to improve?",What RAM size would you prefer in your next laptop?,Which accessories did you buy along with your laptop?,Would you consider upgrading your laptop within the next 1–2 years?,Name,Which accessories would you consider buying with a new laptop?
10-03-2026 18:46,Above 40,Working Professional,Asus,Studying,Satisfied,Processor,Yes,Wireless Mouse,Combo bundle (Laptop + Accessories),"Battery drains quickly, No major issues, Slow performance, Low storage space",Sometimes,Processor performance,64 GB,None,Yes,User_0185,"Wireless Mouse, Laptop Bag, External Storage, Laptop Stand"
10-03-2026 19:20,18–22,Working Professional,Acer,Programming,Very satisfied,RAM,Yes,"Wireless Mouse, USB Hub, Cooling Pad",Combo bundle (Laptop + Accessories),Battery drains quickly,Rarely,Processor performance,64 GB,"Laptop Bag, Keyboard",Maybe,User_0186,"Wireless Mouse, External Storage, Laptop Stand"
10-03-2026 09:50,23–30,Working Professional,HP,Personal use,Neutral,Price,Yes,"Laptop Stand, USB Hub",Extended warranty,"Overheating issues, No major issues",Rarely,Battery life,32 GB,"Laptop Bag, Mouse, Cooling Pad",Maybe,User_0187,"Wireless Mouse, Laptop Stand"
10-03-2026 10:02,18–22,Student,Dell,Programming,Satisfied,RAM,Yes,"Wireless Mouse, Keyboard, USB Hub",Combo bundle (Laptop + Accessories),"Battery drains quickly, Overheating issues, Low storage space, Insufficient RAM",Never,Processor performance,16 GB,Laptop Bag,Yes,User_0188,"Wireless Mouse, Laptop Stand, Cooling Pad"
10-03-2026 21:43,18–22,Working Professional,Acer,Programming,Unsatisfied,Processor,No,"Wireless Mouse, External Hard Drive / SSD, USB Hub",Discount on accessories,Overheating issues,Sometimes,Battery life,16 GB,"Laptop Bag, Cooling Pad",Yes,User_0189,"Wireless Mouse, External Storage, Laptop Stand, Cooling Pad"
10-03-2026 16:27,18–22,Student,HP,Personal use,Satisfied,Price,Yes,External Hard Drive / SSD,Combo bundle (Laptop + Accessories),"Battery drains quickly, Low storage space",Rarely,Storage capacity,32 GB,"Laptop Bag, Mouse",Yes,User_0190,"Laptop Bag, Cooling Pad"
10-03-2026 18:47,18–22,Student,Apple,Office Work,Satisfied,Processor,Yes,"Wireless Mouse, Keyboard, Laptop Stand, Cooling Pad",Extended warranty,"Slow performance, Insufficient RAM",Rarely,Processor performance,32 GB,Cooling Pad,No,User_0191,Wireless Mouse
10-03-2026 17:34,18–22,Student,Lenovo,Programming,Very satisfied,Processor,Yes,"Laptop Bag, Keyboard",Extended warranty,"Battery drains quickly, No major issues",Rarely,RAM capacity,64 GB,Mouse,Maybe,User_0192,"Wireless Mouse, Laptop Bag"
10-03-2026 21:58,18–22,Student,Dell,Studying,Neutral,Storage,Yes,"Wireless Mouse, USB Hub",Extended warranty,Battery drains quickly,Rarely,Processor performance,16 GB,"Laptop Bag, Mouse",Maybe,User_0193,"Wireless Mouse, Laptop Bag, Laptop Stand"
10-03-2026 19:46,Above 40,Working Professional,Asus,Studying,Satisfied,Processor,No,"Keyboard, USB Hub",Combo bundle (Laptop + Accessories),Overheating issues,Sometimes,Storage capacity,16 GB,"Laptop Bag, External Storage",Maybe,User_0194,"Wireless Mouse, Cooling Pad"
10-03-2026 09:35,18–22,Other,Apple,Personal use,Neutral,Price,Yes,"Laptop Bag, Keyboard, Laptop Stand, USB Hub",Combo bundle (Laptop + Accessories),"Overheating issues, No major issues, Slow performance, Low storage space, Insufficient RAM",Rarely,Battery life,32 GB,"Keyboard, External Storage",Maybe,User_0195,Laptop Stand
10-03-2026 18:41,Above 40,Working Professional,Acer,Office Work,Satisfied,Graphics,Yes,"Wireless Mouse, Laptop Bag, Keyboard, Laptop Stand",Extended warranty,"Battery drains quickly, Overheating issues, Insufficient RAM",Rarely,Graphics performance,32 GB,"Laptop Bag, Mouse",Yes,User_0196,"Wireless Mouse, Cooling Pad"
10-03-2026 19:44,18–22,Student,HP,Studying,Unsatisfied,Price,No,"Wireless Mouse, Keyboard",Combo bundle (Laptop + Accessories),Battery drains quickly,Sometimes,Processor performance,8 GB,"Laptop Bag, Keyboard",Yes,User_0197,"Wireless Mouse, External Storage, Laptop Stand"
10-03-2026 19:01,18–22,Student,Lenovo,Studying,Satisfied,Processor,Yes,"Wireless Mouse, Laptop Bag, Keyboard",Discount on accessories,"No major issues, Low storage space",Rarely,Processor performance,64 GB,None,Yes,User_0198,"Laptop Bag, Laptop Stand"
10-03-2026 11:57,18–22,Student,HP,Studying,Satisfied,Storage,Yes,"Wireless Mouse, Laptop Bag, Cooling Pad",Extended warranty,"Overheating issues, Slow performance",Rarely,Processor performance,16 GB,"Mouse, Keyboard",Maybe,User_0199,"Wireless Mouse, External Storage, Laptop Stand"
10-03-2026 09:21,18–22,Working Professional,Dell,Programming,Very satisfied,Processor,Yes,"Wireless Mouse, USB Hub",Free accessories,"Overheating issues, Insufficient RAM",Never,RAM capacity,16 GB,None,Yes,User_0200,"Wireless Mouse, Cooling Pad"
10-03-2026 09:27,23–30,Working Professional,HP,Office Work,Satisfied,Price,Yes,USB Hub,Combo bundle (Laptop + Accessories),Low storage space,Sometimes,Processor performance,32 GB,Mouse,Maybe,User_0201,"Laptop Bag, External Storage"
10-03-2026 11:50,18–22,Student,Dell,Office Work,Neutral,Graphics,Yes,Laptop Bag,Combo bundle (Laptop + Accessories),"No major issues, Slow performance",Sometimes,Storage capacity,32 GB,Laptop Bag,No,User_0202,"Wireless Mouse, Laptop Bag"
10-03-2026 19:44,18–22,Working Professional,HP,Office Work,Neutral,Processor,Yes,"Wireless Mouse, Laptop Bag, Keyboard",Combo bundle (Laptop + Accessories),Slow performance,Rarely,Storage capacity,32 GB,"Mouse, Keyboard, External Storage",Maybe,User_0203,"Wireless Mouse, Laptop Stand, Cooling Pad"
10-03-2026 10:00,Above 40,Working Professional,Apple,Studying,Satisfied,Graphics,Yes,"Laptop Bag, Cooling Pad",Extended warranty,"Battery drains quickly, Overheating issues, No major issues, Slow performance",Sometimes,Battery life,64 GB,None,Yes,User_0204,"Laptop Bag, Cooling Pad"
10-03-2026 12:44,Above 40,Other,Lenovo,Studying,Unsatisfied,RAM,Yes,"Wireless Mouse, Keyboard, External Hard Drive / SSD",Combo bundle (Laptop + Accessories),"Battery drains quickly, Slow performance",Sometimes,Processor performance,64 GB,None,Maybe,User_0205,Laptop Bag
10-03-2026 10:09,18–22,Student,Acer,Studying,Very satisfied,Storage,No,"Wireless Mouse, Laptop Bag, USB Hub, Cooling Pad",Free accessories,Slow performance,Sometimes,Battery life,16 GB,Laptop Bag,Maybe,User_0206,"Wireless Mouse, External Storage, Laptop Stand"
10-03-2026 12:18,23–30,Working Professional,Lenovo,Programming,Very satisfied,Price,Yes,"Wireless Mouse, Laptop Bag, External Hard Drive / SSD",Combo bundle (Laptop + Accessories),Slow performance,Sometimes,Processor performance,64 GB,"External Storage, Cooling Pad",Maybe,User_0207,"Wireless Mouse, Laptop Stand"
10-03-2026 18:30,18–22,Student,HP,Office Work,Very satisfied,Processor,Yes,"Wireless Mouse, Keyboard, Laptop Stand",Extended warranty,"Battery drains quickly, Slow performance, Insufficient RAM",Sometimes,RAM capacity,32 GB,"Mouse, External Storage",Maybe,User_0208,"Laptop Bag, External Storage, Laptop Stand, Cooling Pad"
10-03-2026 21:09,Above 40,Student,Lenovo,Studying,Neutral,Processor,No,"Wireless Mouse, Laptop Bag, External Hard Drive / SSD",Combo bundle (Laptop + Accessories),No major issues,Sometimes,Processor performance,64 GB,"Mouse, Keyboard, External Storage",Maybe,User_0209,"Wireless Mouse, Laptop Bag, External Storage, Laptop Stand, Cooling Pad"
10-03-2026 20:01,18–22,Student,Asus,Programming,Very satisfied,Processor,Yes,Wireless Mouse,Combo bundle (Laptop + Accessories),"Battery drains quickly, No major issues",Rarely,RAM capacity,64 GB,External Storage,Maybe,User_0210,"Wireless Mouse, Laptop Stand, Cooling Pad"
10-03-2026 16:18,Above 40,Student,Lenovo,Office Work,Satisfied,Processor,Yes,"Wireless Mouse, Laptop Bag, Keyboard, External Hard Drive / SSD",Combo bundle (Laptop + Accessories),"Battery drains quickly, No major issues, Low storage space",Never,RAM capacity,32 GB,"Mouse, External Storage, Cooling Pad",Maybe,User_0211,"Wireless Mouse, External Storage, Cooling Pad"
10-03-2026 09:40,18–22,Student,HP,Studying,Very satisfied,Storage,No,"Laptop Bag, Keyboard",Extended warranty,"Battery drains quickly, Overheating issues, No major issues, Low storage space",Rarely,RAM capacity,64 GB,None,Maybe,User_0212,"Wireless Mouse, Laptop Bag, Laptop Stand, Cooling Pad"
10-03-2026 13:46,18–22,Student,HP,Studying,Very satisfied,Processor,No,"Wireless Mouse, Laptop Bag, Keyboard, Cooling Pad",Extended warranty,"Overheating issues, No major issues",Never,RAM capacity,64 GB,"Laptop Bag, Mouse",No,User_0213,External Storage
10-03-2026 20:04,Less than 18,Student,HP,Office Work,Very satisfied,Graphics,Yes,"Wireless Mouse, Laptop Bag, Keyboard, External Hard Drive / SSD",Combo bundle (Laptop + Accessories),Battery drains quickly,Rarely,Battery life,16 GB,"Laptop Bag, Keyboard",Maybe,User_0214,"Wireless Mouse, Laptop Stand, Cooling Pad"
10-03-2026 09:25,23–30,Working Professional,HP,Studying,Satisfied,Price,Yes,Laptop Bag,Combo bundle (Laptop + Accessories),"Overheating issues, Slow performance",Rarely,Battery life,32 GB,"Laptop Bag, Mouse, Cooling Pad",Maybe,User_0215,Wireless Mouse
10-03-2026 15:16,18–22,Student,Lenovo,Multimedia / Entertainment,Neutral,Processor,Yes,"Laptop Bag, USB Hub",Free accessories,Slow performance,Never,Processor performance,64 GB,"Laptop Bag, Keyboard, External Storage",Maybe,User_0216,"Wireless Mouse, Laptop Bag, External Storage, Cooling Pad"
10-03-2026 20:14,18–22,Student,Lenovo,Multimedia / Entertainment,Neutral,Processor,Yes,None,Combo bundle (Laptop + Accessories),"Battery drains quickly, Overheating issues, Slow performance",Sometimes,Storage capacity,64 GB,Laptop Bag,No,User_0217,"Laptop Bag, External Storage"
10-03-2026 14:03,18–22,Student,HP,Office Work,Satisfied,Processor,Yes,"Wireless Mouse, Keyboard, USB Hub, Cooling Pad",Free accessories,Overheating issues,Rarely,Processor performance,64 GB,External Storage,Maybe,User_0218,"Wireless Mouse, External Storage, Laptop Stand"
10-03-2026 21:03,18–22,Student,HP,Multimedia / Entertainment,Neutral,Processor,Yes,"Wireless Mouse, Laptop Bag, Laptop Stand",Combo bundle (Laptop + Accessories),"Battery drains quickly, Overheating issues",Never,Battery life,64 GB,"Mouse, Keyboard, Cooling Pad",Yes,User_0219,"Wireless Mouse, Laptop Bag, External Storage, Cooling Pad"
10-03-2026 18:09,18–22,Student,HP,Studying,Very satisfied,Processor,Yes,"Wireless Mouse, Cooling Pad",Free accessories,Battery drains quickly,Never,Storage capacity,8 GB,Cooling Pad,Maybe,User_0220,Cooling Pad
10-03-2026 17:41,18–22,Student,Apple,Programming,Satisfied,Processor,Yes,"Wireless Mouse, Laptop Bag, Keyboard, Cooling Pad",Combo bundle (Laptop + Accessories),"Battery drains quickly, Overheating issues",Sometimes,RAM capacity,64 GB,Laptop Bag,Yes,User_0221,"Laptop Bag, External Storage, Laptop Stand, Cooling Pad"
10-03-2026 20:47,18–22,Student,HP,Studying,Very satisfied,RAM,Yes,"Laptop Bag, Laptop Stand",Combo bundle (Laptop + Accessories),"Battery drains quickly, Overheating issues, Slow performance, Insufficient RAM",Rarely,Storage capacity,16 GB,Laptop Bag,Maybe,User_0222,Laptop Bag
10-03-2026 10:40,Above 40,Business,HP,Office Work,Very satisfied,Processor,Yes,Wireless Mouse,Extended warranty,Low storage space,Sometimes,Processor performance,64 GB,"Laptop Bag, External Storage",Maybe,User_0223,"Wireless Mouse, External Storage, Laptop Stand, Cooling Pad"
10-03-2026 12:07,18–22,Student,HP,Studying,Very satisfied,Storage,Yes,"Wireless Mouse, Laptop Bag, Keyboard, Laptop Stand",Combo bundle (Laptop + Accessories),No major issues,Sometimes,RAM capacity,64 GB,"Laptop Bag, Keyboard",Maybe,User_0224,"Laptop Bag, Cooling Pad"
10-03-2026 10:34,18–22,Student,Lenovo,Studying,Satisfied,Storage,Yes,"Wireless Mouse, Laptop Bag, External Hard Drive / SSD",Extended warranty,Battery drains quickly,Sometimes,Processor performance,32 GB,"Laptop Bag, Mouse",Maybe,User_0225,"Laptop Bag, Cooling Pad"
10-03-2026 12:50,18–22,Student,Apple,Programming,Very satisfied,Graphics,No,"Wireless Mouse, Laptop Bag",Combo bundle (Laptop + Accessories),"Overheating issues, Slow performance, Insufficient RAM",Rarely,Processor performance,64 GB,"Laptop Bag, Mouse, Keyboard",Maybe,User_0226,"Wireless Mouse, External Storage, Cooling Pad"
10-03-2026 09:15,18–22,Working Professional,HP,Programming,Very satisfied,RAM,No,"Keyboard, Laptop Stand",Extended warranty,Slow performance,Very often,Processor performance,64 GB,"Laptop Bag, Mouse",Maybe,User_0227,"Laptop Bag, External Storage, Cooling Pad"
10-03-2026 13:06,18–22,Student,Dell,Studying,Neutral,Processor,Yes,Cooling Pad,Combo bundle (Laptop + Accessories),Insufficient RAM,Sometimes,RAM capacity,16 GB,"Laptop Bag, Mouse",Yes,User_0228,"Wireless Mouse, Laptop Stand"
10-03-2026 14:06,18–22,Student,Lenovo,Studying,Very satisfied,Price,Yes,"Wireless Mouse, Keyboard",Combo bundle (Laptop + Accessories),No major issues,Rarely,Battery life,16 GB,Keyboard,Yes,User_0229,"Wireless Mouse, Laptop Bag, Cooling Pad"
10-03-2026 12:08,18–22,Student,Dell,Programming,Very satisfied,Storage,No,"Laptop Bag, Keyboard",Discount on accessories,"Battery drains quickly, No major issues, Low storage space",Never,Storage capacity,64 GB,"Laptop Bag, Mouse",Maybe,User_0230,"Laptop Bag, External Storage"
10-03-2026 11:46,Above 40,Working Professional,Lenovo,Office Work,Neutral,Processor,Yes,"Wireless Mouse, Keyboard",Free accessories,"Battery drains quickly, Overheating issues, Low storage space, Insufficient RAM",Sometimes,Graphics performance,64 GB,"Laptop Bag, Keyboard",Maybe,User_0231,"Wireless Mouse, Laptop Stand, Cooling Pad"
10-03-2026 11:18,18–22,Student,Lenovo,Office Work,Very satisfied,Price,Yes,"Wireless Mouse, Laptop Bag, USB Hub",Combo bundle (Laptop + Accessories),"Battery drains quickly, No major issues",Rarely,Processor performance,64 GB,"Mouse, External Storage",Maybe,User_0232,"Wireless Mouse, External Storage, Laptop Stand"
10-03-2026 12:54,18–22,Business,HP,Studying,Satisfied,Processor,Yes,"Wireless Mouse, Laptop Bag, Keyboard, Laptop Stand",Extended warranty,"Battery drains quickly, Overheating issues, No major issues, Slow performance",Sometimes,Processor performance,32 GB,None,No,User_0233,"Laptop Bag, External Storage, Laptop Stand"
10-03-2026 10:43,Above 40,Working Professional,HP,Office Work,Satisfied,Graphics,Yes,Wireless Mouse,Combo bundle (Laptop + Accessories),Slow performance,Sometimes,Storage capacity,64 GB,"Laptop Bag, Mouse, Cooling Pad",Yes,User_0234,"Wireless Mouse, External Storage, Laptop Stand, Cooling Pad"
10-03-2026 11:04,18–22,Student,HP,Studying,Very satisfied,Processor,Yes,"Wireless Mouse, External Hard Drive / SSD",Combo bundle (Laptop + Accessories),Slow performance,Sometimes,Battery life,64 GB,"Laptop Bag, Mouse",Yes,User_0235,"Laptop Bag, Laptop Stand, Cooling Pad"
10-03-2026 11:46,18–22,Working Professional,Lenovo,Office Work,Very satisfied,Processor,Yes,"Laptop Bag, Keyboard, Cooling Pad",Extended warranty,"Battery drains quickly, Slow performance",Rarely,Storage capacity,64 GB,"Mouse, Keyboard, External Storage",Maybe,User_0236,"Wireless Mouse, Cooling Pad"
10-03-2026 16:39,Above 40,Working Professional,Dell,Studying,Satisfied,Processor,Yes,"Keyboard, Laptop Stand",Combo bundle (Laptop + Accessories),Battery drains quickly,Sometimes,Processor performance,64 GB,"Laptop Bag, Mouse, Cooling Pad",Maybe,User_0237,"Wireless Mouse, Laptop Bag, Laptop Stand"
10-03-2026 15:58,18–22,Student,Dell,Programming,Very satisfied,Processor,Yes,"Wireless Mouse, USB Hub",Combo bundle (Laptop + Accessories),"Overheating issues, No major issues",Rarely,Battery life,64 GB,Laptop Bag,Yes,User_0238,"Wireless Mouse, Laptop Bag"
10-03-2026 09:22,18–22,Student,Lenovo,Studying,Satisfied,Processor,Yes,"Wireless Mouse, Laptop Bag, Laptop Stand, USB Hub",Combo bundle (Laptop + Accessories),"Battery drains quickly, No major issues, Low storage space",Rarely,RAM capacity,64 GB,None,Yes,User_0239,"Wireless Mouse, External Storage, Laptop Stand, Cooling Pad"
10-03-2026 12:39,23–30,Working Professional,HP,Office Work,Satisfied,RAM,No,"Wireless Mouse, Laptop Bag",Extended warranty,"Battery drains quickly, No major issues",Sometimes,RAM capacity,64 GB,"Laptop Bag, Keyboard",No,User_0240,"Laptop Stand, Cooling Pad"
10-03-2026 14:29,Above 40,Working Professional,HP,Studying,Very satisfied,RAM,Yes,"Wireless Mouse, Laptop Bag",Extended warranty,Slow performance,Rarely,Battery life,32 GB,"Laptop Bag, Keyboard",Maybe,User_0241,"Laptop Bag, Laptop Stand, Cooling Pad"
10-03-2026 09:56,23–30,Working Professional,Dell,Programming,Satisfied,RAM,Yes,"Wireless Mouse, Laptop Bag, Laptop Stand, Cooling Pad",Discount on accessories,"Slow performance, Low storage space",Sometimes,RAM capacity,64 GB,"Laptop Bag, Mouse",No,User_0242,"Wireless Mouse, Laptop Bag, External Storage, Laptop Stand"
10-03-2026 18:33,18–22,Student,Asus,Studying,Satisfied,Price,No,"Wireless Mouse, Laptop Bag",Discount on accessories,No major issues,Sometimes,Storage capacity,64 GB,"Laptop Bag, Mouse",Maybe,User_0243,Wireless Mouse
10-03-2026 17:12,18–22,Working Professional,Acer,Programming,Satisfied,Processor,Yes,"Wireless Mouse, External Hard Drive / SSD",Extended warranty,"No major issues, Slow performance",Very often,Storage capacity,64 GB,"Laptop Bag, Mouse",Yes,User_0244,External Storage
10-03-2026 15:44,18–22,Student,Asus,Programming,Very satisfied,Storage,Yes,Laptop Bag,Discount on accessories,Overheating issues,Rarely,RAM capacity,64 GB,"Laptop Bag, Mouse",Maybe,User_0245,"Wireless Mouse, Laptop Bag, External Storage, Laptop Stand"
10-03-2026 10:13,Above 40,Working Professional,Dell,Studying,Neutral,Price,No,"Wireless Mouse, Laptop Bag, Keyboard, USB Hub, Cooling Pad",Combo bundle (Laptop + Accessories),"Battery drains quickly, Overheating issues, Low storage space",Sometimes,Processor performance,32 GB,External Storage,Maybe,User_0246,Laptop Bag
10-03-2026 11:45,Above 40,Student,Lenovo,Multimedia / Entertainment,Very satisfied,Storage,Yes,Laptop Bag,Free accessories,"Battery drains quickly, No major issues",Never,Processor performance,64 GB,None,Yes,User_0247,"Laptop Bag, Laptop Stand, Cooling Pad"
10-03-2026 18:23,18–22,Other,Lenovo,Studying,Satisfied,Storage,Yes,Wireless Mouse,Combo bundle (Laptop + Accessories),"Battery drains quickly, Overheating issues, No major issues",Never,Battery life,64 GB,"Laptop Bag, Keyboard",Maybe,User_0248,"External Storage, Laptop Stand, Cooling Pad"
10-03-2026 13:06,18–22,Student,Dell,Studying,Very satisfied,Processor,Yes,"Wireless Mouse, Laptop Bag, Keyboard, Cooling Pad",Discount on accessories,Insufficient RAM,Sometimes,RAM capacity,32 GB,"Keyboard, Cooling Pad",Yes,User_0249,"Laptop Bag, External Storage, Laptop Stand, Cooling Pad"
10-03-2026 15:42,18–22,Working Professional,HP,Studying,Very satisfied,Storage,No,"Wireless Mouse, Laptop Bag",Extended warranty,No major issues,Never,Battery life,64 GB,Keyboard,Yes,User_0250,"Wireless Mouse, External Storage"
10-03-2026 19:35,18–22,Student,Acer,Studying,Satisfied,Storage,Yes,"Wireless Mouse, Keyboard, Cooling Pad",Extended warranty,"Battery drains quickly, Overheating issues, Low storage space, Insufficient RAM",Never,Storage capacity,64 GB,"Mouse, Cooling Pad",Maybe,User_0251,"Wireless Mouse, Cooling Pad"
10-03-2026 15:00,18–22,Student,Lenovo,Studying,Neutral,Price,Yes,"Wireless Mouse, Laptop Bag, Laptop Stand",Extended warranty,Overheating issues,Sometimes,Battery life,64 GB,"Laptop Bag, Mouse, Keyboard, Cooling Pad",Maybe,User_0252,"Wireless Mouse, Laptop Bag, External Storage"
10-03-2026 15:04,18–22,Working Professional,HP,Office Work,Satisfied,Graphics,Yes,External Hard Drive / SSD,Extended warranty,Overheating issues,Sometimes,Battery life,32 GB,"Laptop Bag, Keyboard",Yes,User_0253,"Wireless Mouse, Laptop Stand, Cooling Pad"
10-03-2026 13:26,18–22,Student,Dell,Studying,Very satisfied,Processor,Yes,Wireless Mouse,Combo bundle (Laptop + Accessories),No major issues,Never,Processor performance,64 GB,"Laptop Bag, Mouse",Maybe,User_0254,"Wireless Mouse, Laptop Bag, External Storage, Laptop Stand"
10-03-2026 19:04,18–22,Student,Lenovo,Studying,Satisfied,Storage,Yes,"Wireless Mouse, USB Hub, Cooling Pad",Combo bundle (Laptop + Accessories),"Overheating issues, Slow performance",Sometimes,Processor performance,32 GB,"Laptop Bag, Mouse",Maybe,User_0255,"Wireless Mouse, Laptop Bag, External Storage, Cooling Pad"
10-03-2026 12:44,Above 40,Student,HP,Studying,Satisfied,RAM,Yes,"Wireless Mouse, Laptop Bag, Keyboard, External Hard Drive / SSD, Cooling Pad",Combo bundle (Laptop + Accessories),"Battery drains quickly, Low storage space",Sometimes,Battery life,16 GB,Laptop Bag,No,User_0256,External Storage
10-03-2026 09:58,18–22,Student,HP,Programming,Satisfied,Processor,Yes,"Wireless Mouse, Keyboard, External Hard Drive / SSD, Laptop Stand",Combo bundle (Laptop + Accessories),"Battery drains quickly, Overheating issues, Slow performance",Never,RAM capacity,32 GB,"Laptop Bag, External Storage",Yes,User_0257,"Wireless Mouse, Laptop Bag"
10-03-2026 10:03,18–22,Student,Lenovo,Studying,Very satisfied,RAM,Yes,Laptop Bag,Combo bundle (Laptop + Accessories),Overheating issues,Rarely,Storage capacity,64 GB,"Laptop Bag, Mouse, External Storage",Yes,User_0258,"Wireless Mouse, External Storage, Laptop Stand, Cooling Pad"
10-03-2026 20:22,18–22,Student,Lenovo,Office Work,Neutral,Storage,Yes,"Wireless Mouse, Laptop Bag, Keyboard, External Hard Drive / SSD",Free accessories,Battery drains quickly,Sometimes,Battery life,32 GB,"Laptop Bag, Mouse",Maybe,User_0259,"Wireless Mouse, Laptop Bag, External Storage"
10-03-2026 15:12,18–22,Student,HP,Studying,Neutral,Storage,Yes,"Wireless Mouse, Laptop Bag, Keyboard",Discount on accessories,No major issues,Never,Processor performance,32 GB,"Mouse, Keyboard, External Storage",Yes,User_0260,"Wireless Mouse, Laptop Bag, Laptop Stand, Cooling Pad"
10-03-2026 12:06,18–22,Student,HP,Office Work,Very satisfied,Storage,Yes,"Laptop Bag, Laptop Stand, USB Hub, Cooling Pad",Combo bundle (Laptop + Accessories),Low storage space,Rarely,Battery life,32 GB,"Laptop Bag, Mouse",Yes,User_0261,Laptop Bag
10-03-2026 20:18,18–22,Student,HP,Personal use,Satisfied,Storage,No,Wireless Mouse,Free accessories,"Battery drains quickly, Slow performance",Sometimes,RAM capacity,8 GB,Laptop Bag,No,User_0262,"Wireless Mouse, External Storage, Laptop Stand"
10-03-2026 10:31,18–22,Student,HP,Office Work,Very satisfied,Graphics,Yes,"Wireless Mouse, External Hard Drive / SSD, Laptop Stand",Discount on accessories,Low storage space,Sometimes,Storage capacity,16 GB,None,Maybe,User_0263,External Storage
10-03-2026 10:55,Above 40,Student,HP,Office Work,Very satisfied,Graphics,Yes,"Wireless Mouse, Keyboard, External Hard Drive / SSD",Discount on accessories,"Slow performance, Insufficient RAM",Sometimes,Storage capacity,32 GB,None,Yes,User_0264,"Wireless Mouse, Laptop Bag, External Storage"
10-03-2026 13:13,Above 40,Business,HP,Studying,Satisfied,RAM,Yes,Keyboard,Extended warranty,Low storage space,Never,Storage capacity,64 GB,"Laptop Bag, Keyboard",Maybe,User_0265,"Wireless Mouse, Cooling Pad"
10-03-2026 13:57,18–22,Student,Asus,Studying,Neutral,Processor,Yes,"Wireless Mouse, Laptop Bag, External Hard Drive / SSD",Combo bundle (Laptop + Accessories),"Battery drains quickly, Overheating issues, Slow performance",Rarely,RAM capacity,64 GB,Laptop Bag,Yes,User_0266,"Wireless Mouse, Laptop Bag, External Storage, Laptop Stand"
10-03-2026 09:11,Above 40,Working Professional,HP,Studying,Very satisfied,Processor,Yes,"Wireless Mouse, Laptop Bag",Combo bundle (Laptop + Accessories),Battery drains quickly,Rarely,RAM capacity,32 GB,"Laptop Bag, Mouse, Cooling Pad",Maybe,User_0267,"Wireless Mouse, Laptop Bag, Cooling Pad"
10-03-2026 13:21,18–22,Student,Asus,Office Work,Satisfied,Storage,Yes,USB Hub,Combo bundle (Laptop + Accessories),"Battery drains quickly, Slow performance",Very often,Battery life,64 GB,"Laptop Bag, Mouse, Keyboard",Maybe,User_0268,Wireless Mouse
10-03-2026 19:55,Above 40,Working Professional,HP,Studying,Satisfied,Processor,Yes,"Wireless Mouse, Keyboard, Laptop Stand",Extended warranty,Overheating issues,Sometimes,Storage capacity,64 GB,"Laptop Bag, Mouse, External Storage",Maybe,User_0269,"External Storage, Laptop Stand"
10-03-2026 12:50,Above 40,Business,Asus,Studying,Very satisfied,Storage,Yes,"Laptop Bag, Keyboard, External Hard Drive / SSD, Laptop Stand",Combo bundle (Laptop + Accessories),Low storage space,Sometimes,Processor performance,64 GB,"Laptop Bag, Mouse",No,User_0270,"Wireless Mouse, Laptop Bag, Cooling Pad"
10-03-2026 09:15,18–22,Student,HP,Studying,Satisfied,Price,Yes,"Wireless Mouse, External Hard Drive / SSD, Laptop Stand",Free accessories,"Battery drains quickly, No major issues, Slow performance",Sometimes,Processor performance,64 GB,"Mouse, Keyboard, External Storage, Cooling Pad",Maybe,User_0271,"Wireless Mouse, External Storage, Laptop Stand"
10-03-2026 16:01,18–22,Working Professional,Acer,Office Work,Very satisfied,Graphics,Yes,"Wireless Mouse, Laptop Bag, Keyboard, External Hard Drive / SSD, Laptop Stand",Extended warranty,Battery drains quickly,Never,Battery life,16 GB,"Laptop Bag, Keyboard, Cooling Pad",Maybe,User_0272,"Wireless Mouse, Laptop Bag, External Storage"
10-03-2026 19:55,23–30,Working Professional,HP,Office Work,Satisfied,Storage,Yes,"Wireless Mouse, Laptop Bag, External Hard Drive / SSD, Laptop Stand, USB Hub",Combo bundle (Laptop + Accessories),Slow performance,Sometimes,Processor performance,64 GB,"Laptop Bag, Mouse, Keyboard",Yes,User_0273,"Wireless Mouse, Cooling Pad"
10-03-2026 13:51,Above 40,Working Professional,HP,Programming,Satisfied,Processor,Yes,"Laptop Bag, Keyboard",Combo bundle (Laptop + Accessories),Overheating issues,Sometimes,RAM capacity,32 GB,Mouse,Maybe,User_0274,"Wireless Mouse, Cooling Pad"
10-03-2026 20:42,23–30,Working Professional,HP,Studying,Unsatisfied,Processor,Yes,"Laptop Bag, External Hard Drive / SSD, Laptop Stand",Combo bundle (Laptop + Accessories),Slow performance,Rarely,Graphics performance,16 GB,"Laptop Bag, Mouse",Yes,User_0275,"Wireless Mouse, External Storage"
10-03-2026 18:57,Above 40,Working Professional,Lenovo,Multimedia / Entertainment,Neutral,Processor,Yes,"Wireless Mouse, Laptop Bag, External Hard Drive / SSD, USB Hub",Extended warranty,Low storage space,Very often,Storage capacity,64 GB,Mouse,No,User_0276,"Wireless Mouse, External Storage, Cooling Pad"
